dp_Pa,U_alpha_1e-05,U_alpha_0.0001,U_alpha_0.001,U_alpha_0.003,U_alpha_0.01,U_alpha_0.03
8.156788446904e+02,1.424930269511e+03,1.039733116149e+03,4.366028432954e+02,2.597602436196e+02,1.442966602783e+02,8.442240264172e+01
8.363164084703e+02,1.424938341521e+03,1.039764473786e+03,4.366260418674e+02,2.597748712042e+02,1.443049596071e+02,8.442728809971e+01
8.574761251066e+02,1.424946615850e+03,1.039796619773e+03,4.366498253263e+02,2.597898677270e+02,1.443134682935e+02,8.443229680285e+01
8.791712056359e+02,1.424955097521e+03,1.039829573802e+03,4.366742083651e+02,2.598052424636e+02,1.443221916025e+02,8.443743185089e+01
9.014151953481e+02,1.424963791677e+03,1.039863356046e+03,4.366992060433e+02,2.598210049213e+02,1.443311349308e+02,8.444269642108e+01
9.242219822437e+02,1.424972703587e+03,1.039897987177e+03,4.367248337957e+02,2.598371648448e+02,1.443403038101e+02,8.444809377006e+01
9.476058057049e+02,1.424981838649e+03,1.039933488376e+03,4.367511074417e+02,2.598537322218e+02,1.443497039099e+02,8.445362723583e+01
9.715812653858e+02,1.424991202389e+03,1.039969881344e+03,4.367780431949e+02,2.598707172896e+02,1.443593410416e+02,8.445930023974e+01
9.961633303275e+02,1.425000800469e+03,1.040007188315e+03,4.368056576724e+02,2.598881305406e+02,1.443692211614e+02,8.446511628859e+01
1.021367348304e+03,1.425010638687e+03,1.040045432068e+03,4.368339679049e+02,2.599059827289e+02,1.443793503744e+02,8.447107897668e+01
1.047209055406e+03,1.425020722981e+03,1.040084635943e+03,4.368629913469e+02,2.599242848767e+02,1.443897349378e+02,8.447719198797e+01
1.073704585861e+03,1.425031059434e+03,1.040124823852e+03,4.368927458868e+02,2.599430482807e+02,1.444003812648e+02,8.448345909833e+01
1.100870482115e+03,1.425041654274e+03,1.040166020289e+03,4.369232498579e+02,2.599622845190e+02,1.444112959285e+02,8.448988417775e+01
1.128723705153e+03,1.425052513879e+03,1.040208250352e+03,4.369545220486e+02,2.599820054581e+02,1.444224856659e+02,8.449647119266e+01
1.157281645090e+03,1.425063644781e+03,1.040251539751e+03,4.369865817142e+02,2.600022232597e+02,1.444339573816e+02,8.450322420833e+01
1.186562132034e+03,1.425075053667e+03,1.040295914822e+03,4.370194485879e+02,2.600229503880e+02,1.444457181521e+02,8.451014739123e+01
1.216583447209e+03,1.425086747388e+03,1.040341402548e+03,4.370531428924e+02,2.600441996173e+02,1.444577752303e+02,8.451724501158e+01
1.247364334379e+03,1.425098732955e+03,1.040388030566e+03,4.370876853519e+02,2.600659840391e+02,1.444701360491e+02,8.452452144583e+01
1.278924011543e+03,1.425111017549e+03,1.040435827188e+03,4.371230972043e+02,2.600883170704e+02,1.444828082266e+02,8.453198117928e+01
1.311282182935e+03,1.425123608521e+03,1.040484821415e+03,4.371594002135e+02,2.601112124614e+02,1.444957995700e+02,8.453962880876e+01
1.344459051331e+03,1.425136513400e+03,1.040535042954e+03,4.371966166824e+02,2.601346843032e+02,1.445091180806e+02,8.454746904531e+01
