alpha,d_c_R2,d_c_R5,d_c_R10
2.568614895141e-05,1.071661282487e-01,1.308069241862e-01,1.517701044480e-01
2.638789104829e-05,1.071623312686e-01,1.307943182686e-01,1.517397040590e-01
2.710880464384e-05,1.071584309706e-01,1.307813717389e-01,1.517084921257e-01
2.784941350081e-05,1.071544245550e-01,1.307680754991e-01,1.516764475082e-01
2.861025569104e-05,1.071503091470e-01,1.307544202138e-01,1.516435485441e-01
2.939188398647e-05,1.071460817943e-01,1.307403963045e-01,1.516097730378e-01
3.019486626065e-05,1.071417394655e-01,1.307259939439e-01,1.515750982486e-01
3.101978590138e-05,1.071372790479e-01,1.307112030490e-01,1.515395008792e-01
3.186724223454e-05,1.071326973454e-01,1.306960132757e-01,1.515029570640e-01
3.273785095949e-05,1.071279910759e-01,1.306804140118e-01,1.514654423569e-01
3.363224459643e-05,1.071231568697e-01,1.306643943708e-01,1.514269317193e-01
3.455107294592e-05,1.071181912668e-01,1.306479431853e-01,1.513873995082e-01
3.549500356099e-05,1.071130907146e-01,1.306310489998e-01,1.513468194631e-01
3.646472223213e-05,1.071078515653e-01,1.306137000641e-01,1.513051646943e-01
3.746093348551e-05,1.071024700740e-01,1.305958843262e-01,1.512624076698e-01
3.848436109487e-05,1.070969423953e-01,1.305775894250e-01,1.512185202027e-01
3.953574860738e-05,1.070912645815e-01,1.305588026830e-01,1.511734734383e-01
4.061585988377e-05,1.070854325795e-01,1.305395110987e-01,1.511272378415e-01
4.172547965337e-05,1.070794422279e-01,1.305197013392e-01,1.510797831832e-01
4.286541408421e-05,1.070732892547e-01,1.304993597320e-01,1.510310785278e-01
4.403649136870e-05,1.070669692740e-01,1.304784722574e-01,1.509810922196e-01
4.523956232538e-05,1.070604777833e-01,1.304570245404e-01,1.509297918698e-01
4.647550101702e-05,1.070538101604e-01,1.304350018422e-01,1.508771443432e-01
4.774520538566e-05,1.070469616602e-01,1.304123890521e-01,1.508231157449e-01
4.904959790502e-05,1.070399274117e-01,1.303891706789e-01,1.507676714070e-01
5.038962625065e-05,1.070327024148e-01,1.303653308422e-01,1.507107758754e-01
5.176626398849e-05,1.070252815365e-01,1.303408532635e-01,1.506523928963e-01
5.318051128214e-05,1.070176595084e-01,1.303157212573e-01,1.505924854031e-01
5.463339561957e-05,1.070098309224e-01,1.302899177221e-01,1.505310155032e-01
5.612597255955e-05,1.070017902274e-01,1.302634251311e-01,1.504679444649e-01
5.765932649859e-05,1.069935317258e-01,1.302362255224e-01,1.504032327043e-01
5.923457145876e-05,1.069850495697e-01,1.302083004903e-01,1.503368397723e-01
